ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
AG2606C12100.SHF,20260119,SHFE,10802.0,10802.0,,,,10410.5,10410.5,0.0,0.0,9.0,白银期权2606C12100,C,12100.0,20250917,20260525
AG2606C12200.SHF,20260119,SHFE,10719.0,10719.0,,,,10323.5,10323.5,0.0,0.0,9.0,白银期权2606C12200,C,12200.0,20250923,20260525
AG2606C12300.SHF,20260119,SHFE,10636.0,10636.0,,,,10236.5,10236.5,0.0,0.0,14.0,白银期权2606C12300,C,12300.0,20250924,20260525
AG2606C12400.SHF,20260119,SHFE,10553.0,10475.5,,,,10150.0,10150.0,0.0,0.0,6.0,白银期权2606C12400,C,12400.0,20250925,20260525
AG2606C12500.SHF,20260119,SHFE,10470.0,10470.0,,,,10063.0,10063.0,0.0,0.0,14.0,白银期权2606C12500,C,12500.0,20250929,20260525
AG2606C12600.SHF,20260119,SHFE,10387.0,10387.0,,,,9977.0,9977.0,0.0,0.0,12.0,白银期权2606C12600,C,12600.0,20250930,20260525
AG2606C12700.SHF,20260119,SHFE,10304.0,10304.0,,,,9893.5,9893.5,0.0,0.0,14.0,白银期权2606C12700,C,12700.0,20250930,20260525
AG2606C12800.SHF,20260119,SHFE,10221.0,10221.0,,,,9810.0,9810.0,0.0,0.0,13.0,白银期权2606C12800,C,12800.0,20250930,20260525
AG2606C12900.SHF,20260119,SHFE,10138.0,10138.0,,,,9726.5,9726.5,0.0,0.0,19.0,白银期权2606C12900,C,12900.0,20250930,20260525
AG2606C13000.SHF,20260119,SHFE,10058.0,10048.0,9250.0,10650.0,9250.0,10300.0,9642.5,5.0,77.025,23.0,白银期权2606C13000,C,13000.0,20250930,20260525
AG2606C13100.SHF,20260119,SHFE,9979.0,9979.0,,,,9559.0,9559.0,0.0,0.0,18.0,白银期权2606C13100,C,13100.0,20250930,20260525
AG2606C13200.SHF,20260119,SHFE,9899.5,9899.5,,,,9475.5,9475.5,0.0,0.0,18.0,白银期权2606C13200,C,13200.0,20250930,20260525
AG2606C13300.SHF,20260119,SHFE,9820.5,9820.5,,,,9392.5,9392.5,0.0,0.0,23.0,白银期权2606C13300,C,13300.0,20250930,20260525
AG2606C13400.SHF,20260119,SHFE,9741.5,9400.0,,,,9309.0,9309.0,0.0,0.0,17.0,白银期权2606C13400,C,13400.0,20250930,20260525
AG2606C13500.SHF,20260119,SHFE,9662.5,9662.5,,,,9229.0,9229.0,0.0,0.0,10.0,白银期权2606C13500,C,13500.0,20251009,20260525
