合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
br2504P13600,206,238,184,184.0,197.0,237.0,-13.0,40.0,67,33,-2,7.407,-0.280072,0,20250205
br2504P13800,258,303,254,254.0,254.0,305.0,0.0,51.0,46,33,-1,6.456,-0.336409,0,20250205
br2504P14000,410,410,337,405.0,322.0,385.0,83.0,63.0,81,86,43,14.9395,-0.395693,0,20250205
br2504P14200,410,482,410,482.0,401.0,478.0,81.0,77.0,40,85,35,9.0105,-0.456573,0,20250205
br2504P14400,546,591,506,506.0,492.0,582.0,14.0,90.0,32,46,12,8.791,-0.517627,0,20250205
br2504P14600,666,690,620,620.0,593.0,699.0,27.0,106.0,22,49,-1,7.2685,-0.577465,0,20250205
br2504P14800,803,852,761,852.0,706.0,827.0,146.0,121.0,23,53,10,9.239,-0.63482,0,20250205
br2504P15000,948,948,948,948.0,830.0,966.0,118.0,136.0,10,24,0,4.785,-0.688623,0,20250205
br2504P15200,1104,1166,1065,1166.0,964.0,1114.0,202.0,150.0,28,24,17,15.4785,-0.738054,0,20250205
br2504P15400,1245,1330,1230,1246.0,1107.0,1272.0,139.0,165.0,29,21,7,18.3035,-0.782566,0,20250205
br2504P15600,1385,1459,1385,1444.0,1259.0,1437.0,185.0,178.0,24,24,10,17.089,-0.821888,0,20250205
br2504P15800,1584,1584,1531,1531.0,1419.0,1609.0,112.0,190.0,11,27,9,8.6205,-0.855993,0,20250205
br2504P16000,1757,1815,1757,1815.0,1585.0,1787.0,230.0,202.0,6,21,6,5.3,-0.885067,0,20250205
br2504P16200,,,,1969.0,1759.0,1969.0,210.0,210.0,0,10,0,0.0,-0.909449,0,20250205
br2504P16400,,,,2156.0,1937.0,2156.0,219.0,219.0,0,0,0,0.0,-0.929586,0,20250205
br2504P16600,,,,2346.0,2119.0,2346.0,227.0,227.0,0,0,0,0.0,-0.945985,0,20250205
br2504P16800,,,,2538.0,2306.0,2538.0,232.0,232.0,0,0,0,0.0,-0.959167,0,20250205
br2503C11400,3226,3226,3226,3226.0,3140.0,3100.0,86.0,-40.0,1,1,0,1.613,0.999999,1,20250206
br2503C11600,,,,2900.0,2940.0,2900.0,-40.0,-40.0,0,2,0,0.0,0.999999,0,20250206
br2503C11800,,,,2700.0,2740.0,2700.0,-40.0,-40.0,0,13,0,0.0,0.999999,0,20250206
br2503C12000,2628,2628,2628,2628.0,2540.0,2500.0,88.0,-40.0,1,13,-1,1.314,0.999999,0,20250206
br2503C12200,,,,2300.0,2340.0,2300.0,-40.0,-40.0,0,22,0,0.0,0.99946,0,20250206
br2503C12400,2230,2230,2230,2230.0,2140.0,2100.0,90.0,-40.0,1,24,-1,1.115,0.997247,0,20250206
br2503C12600,,,,1901.0,1942.0,1901.0,-41.0,-41.0,0,23,0,0.0,0.992979,0,20250206
br2503C12800,,,,1703.0,1745.0,1703.0,-42.0,-42.0,0,40,0,0.0,0.985031,0,20250206
br2503C13000,,,,1508.0,1550.0,1508.0,-42.0,-42.0,0,39,0,0.0,0.971189,0,20250206
br2503C13200,,,,1317.0,1360.0,1317.0,-43.0,-43.0,0,75,0,0.0,0.948905,0,20250206
br2503C13400,1120,1120,1120,1120.0,1176.0,1132.0,-56.0,-44.0,5,70,0,2.8,0.915629,0,20250206
br2503C13600,885,885,884,884.0,1001.0,956.0,-117.0,-45.0,3,130,0,1.327,0.869387,0,20250206
br2503C13800,790,888,700,888.0,836.0,790.0,52.0,-46.0,25,34,-4,9.767,0.809296,0,20250206
br2503C14000,696,742,552,742.0,685.0,640.0,57.0,-45.0,38,485,-5,11.6455,0.735003,0,20250206
br2503C14200,514,585,400,585.0,549.0,506.0,36.0,-43.0,102,685,28,22.723,0.65005,0,20250206
br2503C14400,424,448,282,431.0,430.0,389.0,1.0,-41.0,551,293,10,91.2415,0.55835,0,20250206
br2503C14600,324,336,196,316.0,330.0,291.0,-14.0,-39.0,1113,536,30,137.131,0.464509,0,20250206
br2503C14800,236,241,137,217.0,246.0,212.0,-29.0,-34.0,1818,473,35,167.167,0.374017,0,20250206
br2503C15000,167,204,92,152.0,179.0,150.0,-27.0,-29.0,5973,1091,220,368.212,0.290643,0,20250206
br2503C15200,118,128,61,98.0,127.0,103.0,-29.0,-24.0,3581,1149,53,155.523,0.218511,0,20250206
