ts_code,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,name,call_put,exercise_price,list_date,delist_date
MO2602-P-9100.CFX,20260119,CFFEX,909.6,950.4,884.0,897.6,852.2,897.6,897.6,16.0,142.674,53.0,中证1000指数期权2602认沽9100,P,9100.0,20260113,20260224
MO2602-P-9200.CFX,20260119,CFFEX,1007.8,1010.2,947.6,991.4,944.2,991.4,991.4,16.0,155.51,216.0,中证1000指数期权2602认沽9200,P,9200.0,20260113,20260224
MO2603-C-4900.CFX,20260119,CFFEX,3272.8,3268.0,3347.8,3348.4,3298.4,3309.4,3299.2,20.0,659.52,202.0,中证1000指数期权2603认购4900,C,4900.0,20250408,20260320
MO2603-C-5000.CFX,20260119,CFFEX,3159.4,3165.0,3257.4,3257.4,3221.0,3235.6,3199.4,18.0,576.688,236.0,中证1000指数期权2603认购5000,C,5000.0,20250408,20260320
MO2603-C-5200.CFX,20260119,CFFEX,2960.0,2967.6,3057.6,3057.6,2996.4,3014.8,3000.0,14.0,420.84,235.0,中证1000指数期权2603认购5200,C,5200.0,20250408,20260320
MO2603-C-5400.CFX,20260119,CFFEX,2760.6,2770.8,2791.6,2850.6,2788.6,2811.2,2800.6,22.0,617.532,270.0,中证1000指数期权2603认购5400,C,5400.0,20250407,20260320
MO2603-C-5600.CFX,20260119,CFFEX,2561.4,2568.4,2605.6,2660.0,2597.8,2613.0,2601.4,29.0,759.294,472.0,中证1000指数期权2603认购5600,C,5600.0,20250324,20260320
MO2603-C-5800.CFX,20260119,CFFEX,2362.4,2364.4,2390.4,2456.6,2390.4,2409.0,2402.2,41.0,990.398,856.0,中证1000指数期权2603认购5800,C,5800.0,20250324,20260320
MO2603-C-6000.CFX,20260119,CFFEX,2180.6,2156.8,2129.6,2275.0,2129.6,2216.8,2203.4,30.0,663.306,1074.0,中证1000指数期权2603认购6000,C,6000.0,20250324,20260320
MO2603-C-6200.CFX,20260119,CFFEX,1986.4,1978.0,2000.0,2059.8,2000.0,2015.0,2004.8,43.0,873.164,1297.0,中证1000指数期权2603认购6200,C,6200.0,20250324,20260320
MO2603-C-6400.CFX,20260119,CFFEX,1790.0,1776.6,1800.0,1865.6,1800.0,1820.4,1806.8,22.0,399.756,939.0,中证1000指数期权2603认购6400,C,6400.0,20250324,20260320
MO2603-C-6500.CFX,20260119,CFFEX,1691.4,1692.8,1633.4,1751.4,1633.4,1721.6,1708.2,19.0,325.266,35.0,中证1000指数期权2603认购6500,C,6500.0,20251222,20260320
MO2603-C-6600.CFX,20260119,CFFEX,1592.2,1581.8,1643.2,1669.4,1619.2,1620.6,1610.0,23.0,377.994,938.0,中证1000指数期权2603认购6600,C,6600.0,20250324,20260320
MO2603-C-6700.CFX,20260119,CFFEX,1496.0,1464.8,1484.8,1561.0,1484.8,1546.4,1503.2,14.0,213.204,26.0,中证1000指数期权2603认购6700,C,6700.0,20251222,20260320
MO2603-C-6800.CFX,20260119,CFFEX,1398.4,1379.6,1456.4,1463.0,1423.8,1431.4,1406.0,32.0,461.756,735.0,中证1000指数期权2603认购6800,C,6800.0,20250324,20260320
MO2603-C-6900.CFX,20260119,CFFEX,1302.4,1303.2,1258.0,1371.2,1258.0,1371.2,1310.2,16.0,212.464,33.0,中证1000指数期权2603认购6900,C,6900.0,20251222,20260320
MO2603-C-7000.CFX,20260119,CFFEX,1206.8,1190.0,1152.8,1285.0,1152.8,1231.0,1214.2,68.0,842.512,1081.0,中证1000指数期权2603认购7000,C,7000.0,20250324,20260320
MO2603-C-7100.CFX,20260119,CFFEX,1113.4,1100.0,1070.2,1177.4,1070.2,1150.0,1120.8,25.0,283.928,72.0,中证1000指数期权2603认购7100,C,7100.0,20251222,20260320
MO2603-C-7200.CFX,20260119,CFFEX,1021.0,999.2,1000.0,1102.0,1000.0,1040.2,1027.8,83.0,876.076,1436.0,中证1000指数期权2603认购7200,C,7200.0,20250324,20260320
MO2603-C-7300.CFX,20260119,CFFEX,934.0,926.4,888.8,999.4,888.8,940.0,940.0,15.0,143.332,554.0,中证1000指数期权2603认购7300,C,7300.0,20251222,20260320
MO2603-C-7400.CFX,20260119,CFFEX,847.0,830.0,821.6,918.8,800.0,852.8,847.0,225.0,1947.26,2383.0,中证1000指数期权2603认购7400,C,7400.0,20250721,20260320
MO2603-C-7500.CFX,20260119,CFFEX,751.2,751.2,751.2,814.0,744.0,789.0,762.8,67.0,520.698,493.0,中证1000指数期权2603认购7500,C,7500.0,20251222,20260320
MO2603-C-7600.CFX,20260119,CFFEX,676.2,676.2,624.2,756.4,624.2,687.2,687.2,149.0,1037.894,1310.0,中证1000指数期权2603认购7600,C,7600.0,20250729,20260320
MO2603-C-7700.CFX,20260119,CFFEX,609.8,602.8,568.0,675.0,568.0,610.0,610.0,186.0,1183.456,657.0,中证1000指数期权2603认购7700,C,7700.0,20251222,20260320
MO2603-C-7800.CFX,20260119,CFFEX,535.6,531.0,511.6,608.2,502.0,540.0,540.0,356.0,1992.03,1444.0,中证1000指数期权2603认购7800,C,7800.0,20250812,20260320
MO2603-C-7900.CFX,20260119,CFFEX,478.2,478.2,457.2,538.0,441.2,479.4,469.0,372.0,1840.346,698.0,中证1000指数期权2603认购7900,C,7900.0,20251222,20260320
MO2603-C-8000.CFX,20260119,CFFEX,419.8,419.8,410.2,473.0,387.2,414.4,414.4,833.0,3618.13,2496.0,中证1000指数期权2603认购8000,C,8000.0,20250818,20260320
MO2603-C-8100.CFX,20260119,CFFEX,366.8,366.2,377.4,415.4,338.6,363.8,363.8,485.0,1848.268,561.0,中证1000指数期权2603认购8100,C,8100.0,20251222,20260320
MO2603-C-8200.CFX,20260119,CFFEX,322.6,322.6,306.0,364.4,293.6,313.8,313.8,1478.0,4932.442,1887.0,中证1000指数期权2603认购8200,C,8200.0,20250821,20260320
MO2603-C-8300.CFX,20260119,CFFEX,287.6,287.6,260.0,319.2,254.4,270.4,271.0,1220.0,3575.346,1617.0,中证1000指数期权2603认购8300,C,8300.0,20251225,20260320
MO2603-C-8400.CFX,20260119,CFFEX,253.0,253.0,251.0,277.4,229.2,233.8,235.4,958.0,2422.284,2312.0,中证1000指数期权2603认购8400,C,8400.0,20250826,20260320
MO2603-C-8500.CFX,20260119,CFFEX,223.0,219.4,209.8,241.8,196.4,200.0,202.8,450.0,993.342,824.0,中证1000指数期权2603认购8500,C,8500.0,20260106,20260320
MO2603-C-8600.CFX,20260119,CFFEX,197.2,198.2,197.0,214.0,173.8,176.4,176.4,1917.0,3708.024,4498.0,中证1000指数期权2603认购8600,C,8600.0,20251010,20260320
MO2603-C-8700.CFX,20260119,CFFEX,174.6,174.6,169.8,185.2,149.0,149.0,149.0,394.0,658.496,580.0,中证1000指数期权2603认购8700,C,8700.0,20260107,20260320
MO2603-C-8800.CFX,20260119,CFFEX,155.6,154.4,152.0,161.8,128.6,128.6,128.6,712.0,1046.208,1252.0,中证1000指数期权2603认购8800,C,8800.0,20260109,20260320
MO2603-C-8900.CFX,20260119,CFFEX,139.0,136.2,135.6,142.2,110.8,111.2,111.2,1366.0,1760.826,361.0,中证1000指数期权2603认购8900,C,8900.0,20260112,20260320
MO2603-C-9000.CFX,20260119,CFFEX,123.6,123.6,120.0,127.0,96.6,97.6,97.6,2127.0,2370.326,2267.0,中证1000指数期权2603认购9000,C,9000.0,20260112,20260320
MO2603-C-9100.CFX,20260119,CFFEX,108.8,108.8,103.4,109.8,80.8,82.0,82.0,1549.0,1520.146,685.0,中证1000指数期权2603认购9100,C,9100.0,20260113,20260320
MO2603-C-9200.CFX,20260119,CFFEX,97.8,97.8,92.0,98.4,68.6,68.6,68.6,2032.0,1699.39,2421.0,中证1000指数期权2603认购9200,C,9200.0,20260113,20260320
MO2603-P-4900.CFX,20260119,CFFEX,2.2,2.2,2.6,2.6,2.0,2.0,2.0,160.0,3.856,1623.0,中证1000指数期权2603认沽4900,P,4900.0,20250408,20260320
MO2603-P-5000.CFX,20260119,CFFEX,2.2,2.2,3.0,3.0,2.2,2.2,2.2,155.0,4.004,996.0,中证1000指数期权2603认沽5000,P,5000.0,20250408,20260320
MO2603-P-5200.CFX,20260119,CFFEX,3.0,3.0,3.0,3.4,2.6,2.6,2.6,133.0,4.246,1240.0,中证1000指数期权2603认沽5200,P,5200.0,20250408,20260320
MO2603-P-5400.CFX,20260119,CFFEX,3.0,3.0,3.0,3.2,2.6,2.6,2.6,116.0,3.432,1176.0,中证1000指数期权2603认沽5400,P,5400.0,20250407,20260320
MO2603-P-5600.CFX,20260119,CFFEX,4.0,4.0,4.4,4.4,3.4,3.4,2.6,130.0,5.35,1512.0,中证1000指数期权2603认沽5600,P,5600.0,20250324,20260320
MO2603-P-5800.CFX,20260119,CFFEX,4.0,4.0,3.6,4.2,3.2,3.2,2.8,135.0,4.944,1561.0,中证1000指数期权2603认沽5800,P,5800.0,20250324,20260320
MO2603-P-6000.CFX,20260119,CFFEX,4.8,4.8,4.6,5.2,4.0,4.0,4.0,261.0,11.612,1927.0,中证1000指数期权2603认沽6000,P,6000.0,20250324,20260320
MO2603-P-6200.CFX,20260119,CFFEX,5.4,5.4,5.0,5.8,4.0,4.4,4.4,369.0,17.892,1315.0,中证1000指数期权2603认沽6200,P,6200.0,20250324,20260320
MO2603-P-6400.CFX,20260119,CFFEX,7.4,7.4,7.0,8.0,5.6,5.8,5.8,484.0,31.114,1285.0,中证1000指数期权2603认沽6400,P,6400.0,20250324,20260320
MO2603-P-6500.CFX,20260119,CFFEX,8.8,8.8,8.2,9.4,6.6,6.6,6.6,593.0,46.23,277.0,中证1000指数期权2603认沽6500,P,6500.0,20251222,20260320
MO2603-P-6600.CFX,20260119,CFFEX,10.2,10.2,11.6,11.6,7.8,7.8,7.8,596.0,54.484,1271.0,中证1000指数期权2603认沽6600,P,6600.0,20250324,20260320
MO2603-P-6700.CFX,20260119,CFFEX,12.8,12.4,12.4,13.2,9.6,9.8,9.8,306.0,32.958,422.0,中证1000指数期权2603认沽6700,P,6700.0,20251222,20260320
MO2603-P-6800.CFX,20260119,CFFEX,16.2,16.2,16.0,17.0,12.4,12.8,12.8,283.0,40.252,2972.0,中证1000指数期权2603认沽6800,P,6800.0,20250324,20260320
MO2603-P-6900.CFX,20260119,CFFEX,18.6,18.6,18.8,20.0,14.4,14.8,14.8,308.0,50.762,661.0,中证1000指数期权2603认沽6900,P,6900.0,20251222,20260320
MO2603-P-7000.CFX,20260119,CFFEX,23.0,23.0,23.4,24.0,18.0,19.2,19.2,671.0,133.82,2137.0,中证1000指数期权2603认沽7000,P,7000.0,20250324,20260320
