ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi
HO2604-P-2900.CFX,20260122,38.6,31.2,36.8,37.6,36.8,37.6,34.2,20.0,7.432,17.0
HO2604-P-2850.CFX,20260122,28.0,25.4,,,,25.4,24.6,0.0,0.0,2.0
HO2604-P-2800.CFX,20260122,20.4,20.0,18.0,18.0,18.0,18.0,18.0,2.0,0.36,5.0
HO2604-P-2750.CFX,20260122,14.8,15.8,12.4,12.6,12.2,12.2,13.2,6.0,0.79,0.0
HO2604-C-3400.CFX,20260122,29.0,30.2,29.6,30.6,28.0,28.0,28.0,9.0,2.598,20.0
HO2604-C-3350.CFX,20260122,35.2,35.0,,,,35.0,32.2,0.0,0.0,2.0
HO2604-C-3300.CFX,20260122,41.8,41.4,,,,41.4,38.4,0.0,0.0,8.0
HO2604-C-3250.CFX,20260122,52.6,54.0,50.8,50.8,50.6,50.6,46.6,3.0,1.54,4.0
HO2604-C-3200.CFX,20260122,64.8,65.4,58.8,58.8,57.0,57.0,57.6,5.0,2.946,4.0
HO2604-C-3150.CFX,20260122,80.2,80.2,84.8,84.8,67.4,67.8,70.2,64.0,48.056,59.0
HO2604-C-3100.CFX,20260122,99.2,99.2,108.4,108.8,84.2,88.6,89.8,363.0,346.492,219.0
HO2604-C-3050.CFX,20260122,122.2,124.4,128.8,128.8,105.2,110.6,110.2,51.0,59.668,45.0
HO2604-C-3000.CFX,20260122,150.6,153.2,145.4,145.4,141.6,141.6,135.8,9.0,13.056,10.0
HO2604-C-2950.CFX,20260122,181.2,176.8,175.0,175.0,175.0,175.0,167.4,1.0,1.75,2.0
HO2604-C-2900.CFX,20260122,217.0,224.6,,,,224.6,200.8,0.0,0.0,0.0
HO2604-C-2850.CFX,20260122,256.0,262.0,,,,262.0,244.2,0.0,0.0,0.0
HO2604-C-2800.CFX,20260122,297.6,302.0,,,,302.0,286.6,0.0,0.0,0.0
HO2604-C-2750.CFX,20260122,341.6,344.4,,,,344.4,332.0,0.0,0.0,0.0
HO2603-P-3500.CFX,20260122,432.4,422.6,444.4,444.4,444.4,444.4,446.6,1.0,4.444,26.0
HO2603-P-3450.CFX,20260122,384.8,387.4,396.6,396.6,394.6,395.4,398.8,7.0,27.258,15.0
HO2603-P-3400.CFX,20260122,341.0,341.0,330.8,356.2,330.8,356.2,351.6,14.0,47.95,31.0
HO2603-P-3350.CFX,20260122,291.8,290.2,303.4,309.8,303.4,309.8,305.0,3.0,9.224,43.0
HO2603-P-3300.CFX,20260122,247.2,237.4,258.8,259.8,255.8,256.2,259.4,8.0,20.488,84.0
HO2603-P-3250.CFX,20260122,204.2,186.0,205.6,221.2,205.6,219.8,216.6,49.0,103.232,54.0
HO2603-P-3200.CFX,20260122,165.8,165.8,151.6,180.0,151.6,175.8,175.8,52.0,88.962,272.0
HO2603-P-3150.CFX,20260122,127.6,116.8,119.8,141.4,118.6,135.4,136.8,101.0,135.236,263.0
HO2603-P-3100.CFX,20260122,96.8,96.8,85.0,108.6,85.0,104.4,104.4,240.0,239.586,427.0
HO2603-P-3050.CFX,20260122,68.6,69.0,63.6,78.2,62.2,73.0,73.0,359.0,263.818,528.0
HO2603-P-3000.CFX,20260122,50.0,50.0,42.4,55.8,42.4,50.0,50.0,181.0,91.954,436.0
HO2603-P-2950.CFX,20260122,34.4,34.4,28.6,38.4,28.6,34.8,35.4,141.0,46.568,300.0
HO2603-P-2900.CFX,20260122,23.4,22.8,19.8,25.2,19.0,23.6,23.6,115.0,26.072,514.0
HO2603-P-2850.CFX,20260122,15.8,15.6,13.2,16.8,13.2,16.2,16.2,45.0,6.984,155.0
HO2603-P-2800.CFX,20260122,11.4,11.8,5.4,11.8,5.4,11.2,10.8,58.0,6.06,639.0
HO2603-P-2750.CFX,20260122,8.8,8.8,6.8,12.0,6.8,8.2,8.2,71.0,6.272,384.0
HO2603-P-2700.CFX,20260122,6.4,6.4,5.4,6.2,5.2,6.0,6.0,9.0,0.512,232.0
HO2603-P-2600.CFX,20260122,4.2,4.0,3.6,3.6,3.6,3.6,3.6,1.0,0.036,176.0
HO2603-P-2500.CFX,20260122,3.0,2.8,2.4,2.4,2.4,2.4,2.6,3.0,0.072,244.0
HO2603-P-2450.CFX,20260122,2.6,2.4,2.0,2.2,2.0,2.2,2.4,18.0,0.408,137.0
HO2603-P-2400.CFX,20260122,2.4,2.0,2.0,2.0,1.8,2.0,2.2,38.0,0.806,237.0
HO2603-P-2350.CFX,20260122,2.2,2.2,1.6,2.0,1.4,2.0,2.0,12.0,0.206,189.0
HO2603-P-2300.CFX,20260122,1.8,1.8,1.4,1.8,1.4,1.8,1.8,42.0,0.656,329.0
HO2603-P-2250.CFX,20260122,1.6,1.6,1.2,1.4,1.2,1.4,1.4,28.0,0.382,537.0
HO2603-C-3500.CFX,20260122,10.6,10.8,11.0,11.6,10.0,10.2,10.4,199.0,21.41,575.0
HO2603-C-3450.CFX,20260122,12.2,12.2,12.6,12.6,12.0,12.2,12.2,67.0,8.258,142.0
HO2603-C-3400.CFX,20260122,15.8,15.0,16.4,17.2,14.4,14.4,14.6,281.0,44.614,1021.0
HO2603-C-3350.CFX,20260122,19.6,19.2,20.0,21.2,18.2,18.2,18.4,32.0,6.072,356.0
HO2603-C-3300.CFX,20260122,25.4,24.0,26.4,28.0,22.2,22.2,23.4,710.0,167.946,1000.0
HO2603-C-3250.CFX,20260122,32.0,32.8,33.2,35.4,30.2,30.2,30.0,42.0,13.818,217.0
HO2603-C-3200.CFX,20260122,42.0,41.4,47.0,47.0,38.0,38.8,38.8,94.0,38.186,638.0
HO2603-C-3150.CFX,20260122,55.0,55.0,61.6,61.6,48.2,48.8,51.0,231.0,122.14,405.0
HO2603-C-3100.CFX,20260122,72.2,71.8,81.0,82.6,64.0,64.6,65.6,570.0,407.098,822.0
HO2603-C-3050.CFX,20260122,95.6,95.6,106.0,106.0,84.2,87.2,87.2,214.0,195.882,230.0
HO2603-C-3000.CFX,20260122,124.0,123.8,138.4,139.0,111.4,114.0,116.0,254.0,300.312,659.0
HO2603-C-2950.CFX,20260122,160.4,157.0,152.4,154.0,145.8,148.8,148.8,28.0,42.686,36.0
HO2603-C-2900.CFX,20260122,196.0,196.0,191.4,195.4,185.0,190.8,186.6,13.0,24.708,180.0
HO2603-C-2850.CFX,20260122,238.6,238.6,251.0,251.0,233.8,233.8,228.2,6.0,14.2,62.0
HO2603-C-2800.CFX,20260122,287.2,286.0,302.0,302.0,271.0,273.8,273.0,33.0,92.626,355.0
HO2603-C-2750.CFX,20260122,330.4,330.4,,,,330.4,319.8,0.0,0.0,23.0
HO2603-C-2700.CFX,20260122,378.2,378.2,392.2,392.2,369.4,373.4,367.4,15.0,58.026,140.0
HO2603-C-2600.CFX,20260122,479.2,475.0,469.2,469.2,469.2,469.2,464.4,1.0,4.692,73.0
HO2603-C-2500.CFX,20260122,577.6,596.8,564.8,569.2,564.8,569.2,563.2,5.0,28.668,139.0
HO2603-C-2450.CFX,20260122,627.4,622.8,613.0,613.0,613.0,613.0,612.4,2.0,12.404,62.0
HO2603-C-2400.CFX,20260122,676.6,680.6,664.4,664.4,664.4,664.4,662.2,2.0,13.41,50.0
HO2603-C-2350.CFX,20260122,727.0,721.6,737.2,737.2,713.2,717.6,711.6,4.0,28.95,36.0
HO2603-C-2300.CFX,20260122,776.8,771.4,763.2,763.2,763.2,763.2,761.2,3.0,23.168,53.0
HO2603-C-2250.CFX,20260122,825.2,820.6,812.6,812.6,812.6,812.6,810.6,3.0,24.63,42.0
HO2602-P-3500.CFX,20260122,429.8,402.6,445.2,445.2,445.2,445.2,448.4,2.0,8.75,78.0
HO2602-P-3450.CFX,20260122,380.2,378.8,,,,378.8,395.0,0.0,0.0,108.0
HO2602-P-3400.CFX,20260122,331.0,329.8,,,,329.8,346.0,0.0,0.0,98.0
HO2602-P-3350.CFX,20260122,282.2,283.2,270.6,298.2,265.8,297.4,297.0,40.0,113.318,77.0
HO2602-P-3300.CFX,20260122,235.2,237.2,223.2,251.0,218.0,251.0,248.0,25.0,58.796,133.0
HO2602-P-3250.CFX,20260122,191.2,191.2,175.2,206.8,172.6,204.4,204.4,52.0,100.938,200.0
HO2602-P-3200.CFX,20260122,145.4,145.4,135.4,161.6,127.6,159.6,159.6,486.0,704.756,992.0
HO2602-P-3150.CFX,20260122,104.6,104.6,94.6,120.2,88.6,115.6,115.6,1752.0,1901.762,1447.0
HO2602-P-3100.CFX,20260122,66.4,66.4,51.8,82.4,51.8,80.2,79.0,2419.0,1728.48,1650.0
HO2602-P-3050.CFX,20260122,41.2,41.2,41.2,51.4,31.8,47.8,48.0,2253.0,994.434,2099.0
HO2602-P-3000.CFX,20260122,23.0,23.0,18.2,29.6,16.4,25.8,25.8,1626.0,379.95,2357.0
HO2602-P-2950.CFX,20260122,12.8,12.8,10.6,16.6,8.8,14.0,14.0,828.0,105.962,1126.0
HO2602-P-2900.CFX,20260122,7.4,7.4,7.0,9.0,4.8,8.0,7.8,428.0,29.954,1278.0
HO2602-P-2850.CFX,20260122,4.4,4.4,3.2,5.0,3.0,4.6,4.6,273.0,11.364,877.0
HO2602-P-2800.CFX,20260122,2.8,2.8,2.2,3.2,2.2,3.2,3.0,102.0,2.8,474.0
HO2602-P-2750.CFX,20260122,1.8,1.8,1.8,2.0,1.6,2.0,2.0,51.0,0.912,143.0
HO2602-P-2700.CFX,20260122,1.4,1.4,1.2,1.4,1.2,1.4,1.4,20.0,0.268,160.0
HO2602-P-2650.CFX,20260122,1.2,1.2,1.0,1.2,1.0,1.2,1.2,20.0,0.202,216.0
HO2602-C-3500.CFX,20260122,2.8,3.0,4.0,4.0,2.8,3.2,3.2,435.0,13.228,1939.0
HO2602-C-3450.CFX,20260122,3.0,3.2,3.4,3.6,2.8,3.2,3.2,145.0,4.412,455.0
HO2602-C-3400.CFX,20260122,3.8,3.8,7.0,7.0,3.2,4.0,4.0,202.0,7.862,621.0
HO2602-C-3350.CFX,20260122,4.8,4.8,5.8,5.8,4.2,5.0,5.0,227.0,10.856,912.0
HO2602-C-3300.CFX,20260122,6.6,6.6,8.0,8.4,6.2,6.8,6.8,423.0,29.302,1321.0
HO2602-C-3250.CFX,20260122,10.4,10.4,11.6,12.8,9.4,10.2,10.2,671.0,69.946,2341.0
HO2602-C-3200.CFX,20260122,16.6,16.6,18.2,20.0,14.6,15.0,15.0,2224.0,363.984,6552.0
HO2602-C-3150.CFX,20260122,25.8,25.8,28.8,30.6,22.6,23.4,23.4,1544.0,385.138,3496.0
HO2602-C-3100.CFX,20260122,40.0,40.0,43.2,47.8,35.4,36.6,36.6,3589.0,1397.684,2767.0
HO2602-C-3050.CFX,20260122,63.2,63.2,68.2,74.0,54.6,57.0,57.0,3390.0,2049.416,2091.0
HO2602-C-3000.CFX,20260122,95.2,95.2,100.0,108.8,82.6,84.4,84.4,1731.0,1601.092,1076.0
HO2602-C-2950.CFX,20260122,135.0,135.0,145.0,151.0,119.0,122.0,122.0,818.0,1066.938,376.0
HO2602-C-2900.CFX,20260122,178.8,178.8,191.0,197.0,162.2,165.6,168.0,354.0,631.104,337.0
HO2602-C-2850.CFX,20260122,225.8,223.0,240.6,242.4,209.0,211.0,211.0,131.0,282.56,437.0
HO2602-C-2800.CFX,20260122,275.0,272.0,293.0,293.0,257.2,257.2,260.8,56.0,150.014,355.0
HO2602-C-2750.CFX,20260122,323.4,348.8,314.0,315.0,307.2,312.0,308.8,7.0,22.1,71.0
HO2602-C-2700.CFX,20260122,372.8,375.0,383.4,383.4,354.8,354.8,358.4,4.0,14.79,35.0
HO2602-C-2650.CFX,20260122,423.8,414.4,417.6,417.8,417.6,417.8,408.2,10.0,41.77,25.0
HO2612-P-3500.CFX,20260121,540.2,540.8,538.2,538.2,538.2,538.2,540.0,2.0,10.764,35.0
HO2612-P-3400.CFX,20260121,464.0,467.0,456.8,459.0,456.8,459.0,461.0,4.0,18.33,96.0
HO2612-P-3300.CFX,20260121,386.6,391.0,381.0,382.4,381.0,382.4,384.8,5.0,19.078,135.0
HO2612-P-3200.CFX,20260121,317.8,311.2,309.8,310.6,309.8,310.6,312.2,10.0,31.006,106.0
HO2612-P-3100.CFX,20260121,250.2,246.0,240.0,243.6,237.0,243.6,246.4,18.0,43.284,80.0
HO2612-P-3000.CFX,20260121,187.6,189.4,182.2,183.4,181.4,183.4,183.8,9.0,16.418,79.0
HO2612-P-2900.CFX,20260121,138.4,138.4,137.8,137.8,127.8,131.0,128.4,43.0,56.528,86.0
HO2612-P-2800.CFX,20260121,92.8,103.6,90.8,91.4,90.6,90.6,88.8,6.0,5.47,57.0
HO2612-P-2700.CFX,20260121,60.8,60.6,59.0,59.0,55.6,56.2,57.6,23.0,13.15,245.0
HO2612-C-3500.CFX,20260121,119.4,118.0,120.4,123.4,116.0,120.0,120.0,183.0,219.066,236.0
HO2612-C-3400.CFX,20260121,135.6,141.6,135.0,140.8,133.6,136.0,138.6,16.0,21.648,150.0
HO2612-C-3300.CFX,20260121,160.2,155.0,157.8,162.2,157.0,162.2,159.8,28.0,44.406,201.0
HO2612-C-3200.CFX,20260121,183.2,185.8,189.0,189.0,183.0,184.0,185.2,37.0,68.28,182.0
HO2612-C-3100.CFX,20260121,215.6,212.8,219.4,220.4,215.0,215.0,215.6,6.0,13.064,80.0
HO2612-C-3000.CFX,20260121,255.0,256.0,260.2,261.2,255.0,255.0,254.0,15.0,38.704,32.0
HO2612-C-2900.CFX,20260121,303.6,303.6,306.2,310.8,306.2,310.8,298.4,5.0,15.402,46.0
HO2612-C-2800.CFX,20260121,354.2,396.6,366.8,366.8,357.6,357.6,354.0,4.0,14.396,68.0
HO2612-C-2700.CFX,20260121,418.8,441.0,432.6,439.6,425.2,431.8,419.8,60.0,258.746,173.0
HO2609-P-3500.CFX,20260121,518.6,509.4,510.2,514.6,502.0,514.6,519.8,56.0,285.48,54.0
HO2609-P-3400.CFX,20260121,435.6,433.0,428.6,432.4,421.8,432.4,436.4,24.0,103.232,59.0
HO2609-P-3300.CFX,20260121,360.8,350.8,351.2,354.2,343.4,354.2,358.2,15.0,52.464,70.0
HO2609-P-3200.CFX,20260121,285.4,278.6,276.6,276.8,276.6,276.8,285.8,3.0,8.302,96.0
HO2609-P-3100.CFX,20260121,220.4,212.8,210.2,210.2,206.2,206.2,219.6,5.0,10.492,84.0
HO2609-P-3000.CFX,20260121,159.0,159.6,145.8,160.4,145.0,160.4,160.6,6.0,9.31,62.0
HO2609-P-2900.CFX,20260121,108.2,111.2,110.0,110.2,110.0,110.2,109.4,9.0,9.912,77.0
HO2609-P-2800.CFX,20260121,70.2,69.4,63.2,65.8,63.2,65.8,70.6,6.0,3.87,111.0
HO2609-P-2700.CFX,20260121,41.0,41.0,39.0,39.2,38.8,39.2,42.0,8.0,3.166,177.0
HO2609-P-2600.CFX,20260121,23.4,24.8,22.0,23.2,21.2,21.2,22.2,19.0,4.224,313.0
HO2609-C-3500.CFX,20260121,81.4,79.0,84.4,92.2,77.0,82.2,82.2,136.0,113.628,123.0
HO2609-C-3400.CFX,20260121,96.4,94.8,107.4,107.4,92.4,92.4,95.8,31.0,30.36,483.0
HO2609-C-3300.CFX,20260121,117.6,119.2,123.4,128.0,112.4,112.4,116.2,25.0,29.446,148.0
HO2609-C-3200.CFX,20260121,143.4,137.4,149.6,149.6,139.4,139.4,142.0,16.0,23.314,126.0
HO2609-C-3100.CFX,20260121,174.4,171.2,174.2,174.2,174.2,174.2,175.0,3.0,5.226,96.0
HO2609-C-3000.CFX,20260121,216.2,208.6,225.0,225.0,224.0,224.0,214.2,6.0,13.49,214.0
HO2609-C-2900.CFX,20260121,266.2,256.0,,,,256.0,266.4,0.0,0.0,137.0
HO2609-C-2800.CFX,20260121,327.6,335.4,331.8,337.4,329.2,333.0,322.0,26.0,86.16,98.0
HO2609-C-2700.CFX,20260121,391.0,425.4,,,,425.4,390.8,0.0,0.0,89.0
HO2609-C-2600.CFX,20260121,470.8,464.4,484.2,493.6,466.4,466.4,466.4,14.0,67.202,81.0
HO2606-P-3500.CFX,20260121,464.8,464.8,,,,464.8,460.4,0.0,0.0,5.0
HO2606-P-3400.CFX,20260121,379.0,377.8,,,,377.8,374.8,0.0,0.0,64.0
HO2606-P-3300.CFX,20260121,298.4,304.0,,,,304.0,298.8,0.0,0.0,199.0
HO2606-P-3200.CFX,20260121,218.2,218.4,213.8,217.6,206.2,217.6,223.8,10.0,21.052,259.0
HO2606-P-3100.CFX,20260121,155.6,151.8,150.6,152.0,143.8,152.0,153.6,15.0,22.384,131.0
HO2606-P-3000.CFX,20260121,102.6,101.6,96.6,98.8,92.8,98.8,103.0,17.0,16.394,388.0
HO2606-P-2900.CFX,20260121,62.2,62.0,60.8,61.4,53.4,61.4,63.2,95.0,57.03,209.0
HO2606-P-2800.CFX,20260121,33.0,33.0,32.0,35.4,29.0,35.4,35.4,26.0,8.03,203.0
HO2606-P-2700.CFX,20260121,16.8,16.8,15.6,20.0,14.4,20.0,20.4,84.0,13.03,276.0
HO2606-P-2600.CFX,20260121,8.8,9.4,8.6,11.8,7.4,11.4,11.4,102.0,9.976,194.0
HO2606-P-2500.CFX,20260121,5.2,5.2,4.6,7.0,3.8,7.0,7.0,29.0,1.43,225.0
