合约代码,开盘价,最高价,最低价,收盘价,前结算价,结算价,涨跌1,涨跌2,成交量,持仓量,持仓量变化,成交额,德尔塔,行权量,trade_date
fu2602C3300,4,5.5,4,5.5,0.5,0.5,5.0,0.0,42,306,4,0.2005,0.005991,0,20251201
fu2602C3350,,,,0.5,0.5,0.5,0.0,0.0,2,225,-2,0.001,0.004012,0,20251201
fu2602C3400,,,,0.5,0.5,0.5,0.0,0.0,0,134,0,0.0,0.002659,0,20251201
fu2602C3450,3,3,3,3.0,0.5,0.5,2.5,0.0,12,433,-2,0.031,0.001756,0,20251201
fu2602P2100,4,4,2.5,2.5,5.0,6.5,-2.5,1.5,60,339,-12,0.1925,-0.055553,0,20251201
fu2602P2150,6.5,6.5,4,4.0,8.0,11.0,-4.0,3.0,55,1081,-5,0.2985,-0.084026,0,20251201
fu2602P2200,10.5,11.5,7,7.5,13.5,17.0,-6.0,3.5,254,832,45,2.547,-0.120726,0,20251201
fu2602P2250,18,18.5,12,12.0,21.0,25.5,-9.0,4.5,151,1790,9,2.403,-0.166901,0,20251201
fu2602P2300,27.5,30,19,21.0,31.5,36.5,-10.5,5.0,289,727,43,7.6335,-0.220936,0,20251201
fu2602P2350,43,44,30,30.5,44.5,51.0,-14.0,6.5,58,602,-8,2.248,-0.283255,0,20251201
fu2602P2400,60,63,45.5,45.5,61.5,69.0,-16.0,7.5,66,554,16,3.575,-0.350939,0,20251201
fu2602P2450,81,85.5,64,65.5,82.5,90.5,-17.0,8.0,86,495,12,6.641,-0.422094,0,20251201
fu2602P2500,109.5,113.5,87,90.5,107.0,115.5,-16.5,8.5,135,1071,36,14.3385,-0.49451,0,20251201
fu2602P2550,141,146,136,137.0,135.5,144.5,1.5,9.0,133,342,-28,18.892,-0.565612,0,20251201
fu2602P2600,176,177.5,153,153.0,167.0,176.5,-14.0,9.5,29,347,-14,5.0665,-0.633506,0,20251201
fu2602P2650,217.5,217.5,217.5,217.5,202.5,211.5,15.0,9.0,5,331,-3,1.0695,-0.696425,0,20251201
fu2602P2700,249.5,249.5,230.5,230.5,240.5,249.5,-10.0,9.0,19,375,-17,4.7215,-0.752485,0,20251201
fu2602P2750,305,305,305,305.0,281.0,290.0,24.0,9.0,1,263,0,0.305,-0.80173,0,20251201
fu2602P2800,,,,332.5,324.0,332.5,8.5,8.5,0,250,0,0.0,-0.843964,0,20251201
fu2602P2850,367.5,367.5,367.5,367.5,368.5,377.0,-1.0,8.5,5,124,-5,1.8375,-0.879356,0,20251201
fu2602P2900,,,,422.5,414.5,422.5,8.0,8.0,0,189,0,0.0,-0.908357,0,20251201
fu2602P2950,,,,469.0,461.5,469.0,7.5,7.5,0,195,0,0.0,-0.93162,0,20251201
fu2602P3000,,,,516.5,509.5,516.5,7.0,7.0,0,138,0,0.0,-0.949908,0,20251201
fu2602P3050,,,,565.0,558.0,565.0,7.0,7.0,0,121,0,0.0,-0.963915,0,20251201
fu2602P3100,,,,614.0,607.0,614.0,7.0,7.0,0,42,0,0.0,-0.974541,0,20251201
fu2602P3150,,,,663.0,656.5,663.0,6.5,6.5,0,15,0,0.0,-0.982551,0,20251201
fu2602P3200,,,,712.5,706.0,712.5,6.5,6.5,0,0,0,0.0,-0.98853,0,20251201
fu2602P3250,,,,762.0,756.0,762.0,6.0,6.0,0,0,0,0.0,-0.992971,0,20251201
fu2602P3300,,,,812.0,806.0,812.0,6.0,6.0,0,0,0,0.0,-0.996279,0,20251201
fu2602P3350,,,,862.0,856.0,862.0,6.0,6.0,0,0,0,0.0,-0.998752,0,20251201
fu2602P3400,,,,912.0,906.0,912.0,6.0,6.0,0,0,0,0.0,-1.0,0,20251201
fu2602P3450,,,,962.0,956.0,962.0,6.0,6.0,0,0,0,0.0,-1.0,0,20251201
fu2603C2100,,,,414.5,416.0,414.5,-1.5,-1.5,0,0,0,0.0,0.923013,0,20251201
fu2603C2150,,,,370.5,370.5,370.5,0.0,0.0,0,0,0,0.0,0.892967,0,20251201
fu2603C2200,,,,328.0,326.5,328.0,1.5,1.5,0,0,0,0.0,0.856647,0,20251201
fu2603C2250,,,,288.0,285.5,288.0,2.5,2.5,0,0,0,0.0,0.813487,0,20251201
fu2603C2300,,,,250.5,246.5,250.5,4.0,4.0,0,1,0,0.0,0.764155,0,20251201
fu2603C2350,,,,216.0,210.5,216.0,5.5,5.5,0,0,0,0.0,0.709888,0,20251201
fu2603C2400,,,,184.0,178.0,184.0,6.0,6.0,0,1,0,0.0,0.651778,0,20251201
fu2603C2450,,,,155.5,148.5,155.5,7.0,7.0,0,1,0,0.0,0.591149,0,20251201
fu2603C2500,,,,130.0,122.0,130.0,8.0,8.0,0,1,0,0.0,0.529454,0,20251201
fu2603C2550,,,,107.5,99.5,107.5,8.0,8.0,0,1,0,0.0,0.468174,0,20251201
fu2603C2600,,,,88.0,80.0,88.0,8.0,8.0,0,2,0,0.0,0.408876,0,20251201
fu2603C2650,,,,71.5,63.5,71.5,8.0,8.0,0,6,0,0.0,0.352667,0,20251201
fu2603C2700,,,,57.5,50.0,57.5,7.5,7.5,0,7,0,0.0,0.300446,0,20251201
fu2603C2750,,,,45.5,38.5,45.5,7.0,7.0,0,8,0,0.0,0.252849,0,20251201
fu2603C2800,,,,36.0,29.5,36.0,6.5,6.5,0,24,0,0.0,0.210241,0,20251201
fu2603C2850,,,,28.0,22.5,28.0,5.5,5.5,0,24,0,0.0,0.172747,0,20251201
fu2603C2900,,,,21.5,17.0,21.5,4.5,4.5,0,32,0,0.0,0.14028,0,20251201
fu2603C2950,,,,16.5,12.5,16.5,4.0,4.0,0,30,0,0.0,0.112616,0,20251201
fu2603C3000,,,,12.5,9.0,12.5,3.5,3.5,0,41,0,0.0,0.089704,0,20251201
fu2603C3050,,,,9.5,6.5,9.5,3.0,3.0,0,54,0,0.0,0.070757,0,20251201
fu2603C3100,,,,7.0,4.5,7.0,2.5,2.5,0,56,0,0.0,0.055269,0,20251201
fu2603C3150,,,,5.0,3.0,5.0,2.0,2.0,0,54,0,0.0,0.042744,0,20251201
fu2603C3200,,,,3.5,2.0,3.5,1.5,1.5,0,44,0,0.0,0.032716,0,20251201
fu2603P2100,,,,11.5,7.5,11.5,4.0,4.0,0,0,0,0.0,-0.076059,0,20251201
fu2603P2150,,,,17.0,12.0,17.0,5.0,5.0,0,0,0,0.0,-0.105791,0,20251201
fu2603P2200,,,,24.5,18.5,24.5,6.0,6.0,0,0,0,0.0,-0.141855,0,20251201
fu2603P2250,,,,34.5,27.0,34.5,7.5,7.5,0,5,0,0.0,-0.184803,0,20251201
fu2603P2300,,,,47.0,38.0,47.0,9.0,9.0,0,15,0,0.0,-0.233961,0,20251201
fu2603P2350,,,,62.0,52.0,62.0,10.0,10.0,0,16,0,0.0,-0.288101,0,20251201
fu2603P2400,,,,80.5,69.0,80.5,11.5,11.5,0,16,0,0.0,-0.346122,0,20251201
fu2603P2450,,,,101.5,89.5,101.5,12.0,12.0,0,14,0,0.0,-0.406701,0,20251201
fu2603P2500,,,,126.0,113.0,126.0,13.0,13.0,0,18,0,0.0,-0.46838,0,20251201
fu2603P2550,,,,153.5,140.0,153.5,13.5,13.5,0,31,0,0.0,-0.529678,0,20251201
fu2603P2600,,,,184.0,171.0,184.0,13.0,13.0,0,26,0,0.0,-0.589017,0,20251201
fu2603P2650,,,,217.0,204.5,217.0,12.5,12.5,0,14,0,0.0,-0.645299,0,20251201
fu2603P2700,,,,253.0,240.5,253.0,12.5,12.5,0,3,0,0.0,-0.697624,0,20251201
fu2603P2750,,,,291.0,279.0,291.0,12.0,12.0,0,1,0,0.0,-0.745356,0,20251201
fu2603P2800,,,,331.5,320.0,331.5,11.5,11.5,0,1,0,0.0,-0.788127,0,20251201
fu2603P2850,,,,373.5,362.5,373.5,11.0,11.0,0,0,0,0.0,-0.825815,0,20251201
fu2603P2900,,,,417.0,407.0,417.0,10.0,10.0,0,0,0,0.0,-0.858506,0,20251201
fu2603P2950,,,,461.5,452.5,461.5,9.0,9.0,0,0,0,0.0,-0.886424,0,20251201
fu2603P3000,,,,507.5,499.0,507.5,8.5,8.5,0,0,0,0.0,-0.909614,0,20251201
fu2603P3050,,,,554.5,546.5,554.5,8.0,8.0,0,0,0,0.0,-0.928867,0,20251201
fu2603P3100,,,,602.0,594.5,602.0,7.5,7.5,0,0,0,0.0,-0.94469,0,20251201
fu2603P3150,,,,650.0,643.5,650.0,6.5,6.5,0,0,0,0.0,-0.957581,0,20251201
fu2603P3200,,,,699.0,692.5,699.0,6.5,6.5,0,0,0,0.0,-0.968004,0,20251201
fu2604C2150,,,,390.5,392.5,390.5,-2.0,-2.0,0,0,0,0.0,0.881936,0,20251201
fu2604C2200,,,,349.0,351.5,349.0,-2.5,-2.5,0,0,0,0.0,0.846495,0,20251201
fu2604C2250,,,,309.5,313.0,309.5,-3.5,-3.5,0,0,0,0.0,0.805917,0,20251201
fu2604C2300,,,,272.5,276.5,272.5,-4.0,-4.0,0,0,0,0.0,0.760628,0,20251201
fu2604C2350,,,,238.0,242.5,238.0,-4.5,-4.5,0,0,0,0.0,0.711308,0,20251201
fu2604C2400,,,,206.5,211.5,206.5,-5.0,-5.0,0,0,0,0.0,0.658846,0,20251201
fu2604C2450,,,,177.5,183.0,177.5,-5.5,-5.5,0,0,0,0.0,0.604282,0,20251201
fu2604C2500,,,,151.5,157.0,151.5,-5.5,-5.5,0,0,0,0.0,0.548738,0,20251201
fu2604C2550,,,,128.5,134.0,128.5,-5.5,-5.5,0,9,0,0.0,0.493331,0,20251201
fu2604C2600,108,108,108,108.0,113.5,107.5,-5.5,-6.0,1,6,-1,0.108,0.439111,0,20251201
fu2604C2650,,,,90.0,95.5,90.0,-5.5,-5.5,0,5,0,0.0,0.386995,0,20251201
fu2604C2700,,,,74.5,79.5,74.5,-5.0,-5.0,0,0,0,0.0,0.33773,0,20251201
fu2604C2750,,,,61.0,66.0,61.0,-5.0,-5.0,0,1,0,0.0,0.291876,0,20251201
fu2604C2800,,,,49.5,54.0,49.5,-4.5,-4.5,0,0,0,0.0,0.249802,0,20251201
fu2604C2850,,,,40.0,44.5,40.0,-4.5,-4.5,0,3,0,0.0,0.211702,0,20251201
fu2604C2900,,,,32.0,36.0,32.0,-4.0,-4.0,0,5,0,0.0,0.177627,0,20251201
fu2604C2950,,,,25.5,29.0,25.5,-3.5,-3.5,0,5,0,0.0,0.1483,0,20251201
fu2604C3000,,,,20.5,23.5,20.5,-3.0,-3.0,0,6,0,0.0,0.122769,0,20251201
fu2604C3050,,,,16.0,18.5,16.0,-2.5,-2.5,0,4,0,0.0,0.100728,0,20251201
fu2604C3100,,,,12.5,14.5,12.5,-2.0,-2.0,0,4,0,0.0,0.081856,0,20251201
fu2604C3150,,,,9.5,11.5,9.5,-2.0,-2.0,0,3,0,0.0,0.065832,0,20251201
fu2604P2150,,,,21.5,24.5,21.5,-3.0,-3.0,0,0,0,0.0,-0.116113,0,20251201
fu2604P2200,,,,30.0,33.5,30.0,-3.5,-3.5,0,1,0,0.0,-0.151163,0,20251201
fu2604P2250,,,,40.5,44.5,40.5,-4.0,-4.0,0,2,0,0.0,-0.191422,0,20251201
fu2604P2300,,,,53.0,58.0,53.0,-5.0,-5.0,0,2,0,0.0,-0.236456,0,20251201
fu2604P2350,,,,68.5,74.0,68.5,-5.5,-5.5,0,2,0,0.0,-0.285582,0,20251201
fu2604P2400,,,,87.0,92.5,87.0,-5.5,-5.5,0,2,0,0.0,-0.337904,0,20251201
fu2604P2450,,,,108.0,114.0,108.0,-6.0,-6.0,0,2,0,0.0,-0.392377,0,20251201
fu2604P2500,,,,131.5,138.0,131.5,-6.5,-6.5,0,3,0,0.0,-0.447881,0,20251201
fu2604P2550,,,,158.0,165.0,158.0,-7.0,-7.0,0,2,0,0.0,-0.503291,0,20251201
fu2604P2600,,,,187.5,194.0,187.5,-6.5,-6.5,0,2,0,0.0,-0.55756,0,20251201
fu2604P2650,,,,219.5,226.0,219.5,-6.5,-6.5,0,2,0,0.0,-0.609768,0,20251201
fu2604P2700,,,,253.5,260.0,253.5,-6.5,-6.5,0,0,0,0.0,-0.659165,0,20251201
fu2604P2750,,,,290.0,296.0,290.0,-6.0,-6.0,0,0,0,0.0,-0.705195,0,20251201
fu2604P2800,,,,328.5,334.0,328.5,-5.5,-5.5,0,0,0,0.0,-0.747486,0,20251201
fu2604P2850,,,,369.0,374.0,369.0,-5.0,-5.0,0,0,0,0.0,-0.785845,0,20251201
fu2604P2900,,,,411.0,416.0,411.0,-5.0,-5.0,0,0,0,0.0,-0.820223,0,20251201
fu2604P2950,,,,454.5,459.0,454.5,-4.5,-4.5,0,0,0,0.0,-0.849879,0,20251201
fu2604P3000,,,,499.0,503.0,499.0,-4.0,-4.0,0,0,0,0.0,-0.875779,0,20251201
fu2604P3050,,,,544.5,548.0,544.5,-3.5,-3.5,0,0,0,0.0,-0.898231,0,20251201
fu2604P3100,,,,591.0,594.0,591.0,-3.0,-3.0,0,0,0,0.0,-0.917559,0,20251201
fu2604P3150,,,,638.0,641.0,638.0,-3.0,-3.0,0,0,0,0.0,-0.934084,0,20251201
fu2605C2150,,,,405.5,410.5,405.5,-5.0,-5.0,0,0,0,0.0,0.877223,0,20251201
fu2605C2200,,,,364.0,370.0,364.0,-6.0,-6.0,0,0,0,0.0,0.843101,0,20251201
fu2605C2250,,,,325.0,331.5,325.0,-6.5,-6.5,0,0,0,0.0,0.804389,0,20251201
fu2605C2300,,,,288.0,295.5,288.0,-7.5,-7.5,0,0,0,0.0,0.761484,0,20251201
fu2605C2350,,,,254.0,262.0,254.0,-8.0,-8.0,0,1,0,0.0,0.714991,0,20251201
fu2605C2400,,,,222.0,230.5,222.0,-8.5,-8.5,0,2,0,0.0,0.66568,0,20251201
fu2605C2450,,,,193.0,202.0,193.0,-9.0,-9.0,0,1,0,0.0,0.614433,0,20251201
fu2605C2500,,,,166.5,175.5,166.5,-9.0,-9.0,0,4,0,0.0,0.562184,0,20251201
fu2605C2550,,,,142.5,152.0,142.5,-9.5,-9.5,0,5,0,0.0,0.509862,0,20251201
fu2605C2600,,,,121.0,130.5,121.0,-9.5,-9.5,0,6,0,0.0,0.458329,0,20251201
fu2605C2650,,,,102.5,111.5,102.5,-9.0,-9.0,0,3,0,0.0,0.408349,0,20251201
fu2605C2700,,,,86.0,95.0,86.0,-9.0,-9.0,0,13,0,0.0,0.360557,0,20251201
fu2605C2750,,,,71.5,80.5,71.5,-9.0,-9.0,0,58,0,0.0,0.315977,0,20251201
fu2605C2800,,,,59.5,67.5,59.5,-8.0,-8.0,0,25,0,0.0,0.274732,0,20251201
fu2605C2850,,,,49.0,56.5,49.0,-7.5,-7.5,0,32,0,0.0,0.236935,0,20251201
fu2605C2900,58,58,58,58.0,46.5,40.0,11.5,-6.5,1,34,0,0.058,0.202628,0,20251201
fu2605C2950,,,,32.5,38.5,32.5,-6.0,-6.0,0,45,0,0.0,0.17176,0,20251201
fu2605C3000,,,,26.0,32.0,26.0,-6.0,-6.0,0,56,0,0.0,0.144277,0,20251201
fu2605C3050,,,,21.0,26.0,21.0,-5.0,-5.0,0,15,0,0.0,0.121055,0,20251201
fu2605C3100,,,,17.0,21.0,17.0,-4.0,-4.0,0,17,0,0.0,0.100721,0,20251201
fu2605C3150,,,,13.5,17.0,13.5,-3.5,-3.5,0,16,0,0.0,0.083011,0,20251201
fu2605P2150,,,,24.0,29.0,24.0,-5.0,-5.0,0,0,0,0.0,-0.120316,0,20251201
fu2605P2200,,,,32.5,38.0,32.5,-5.5,-5.5,0,2,0,0.0,-0.153961,0,20251201
fu2605P2250,,,,43.0,50.0,43.0,-7.0,-7.0,0,25,0,0.0,-0.19228,0,20251201
fu2605P2300,64,64,64,64.0,63.5,56.0,0.5,-7.5,1,15,1,0.064,-0.234866,0,20251201
fu2605P2350,,,,71.5,79.5,71.5,-8.0,-8.0,0,10,0,0.0,-0.281111,0,20251201
fu2605P2400,60,60,60,60.0,98.0,89.5,-38.0,-8.5,1,14,1,0.06,-0.33024,0,20251201
fu2605P2450,,,,110.0,119.5,110.0,-9.5,-9.5,0,7,0,0.0,-0.381366,0,20251201
fu2605P2500,,,,133.5,143.0,133.5,-9.5,-9.5,0,14,0,0.0,-0.433551,0,20251201
fu2605P2550,,,,159.5,169.0,159.5,-9.5,-9.5,0,12,0,0.0,-0.485867,0,20251201
fu2605P2600,,,,188.0,197.5,188.0,-9.5,-9.5,0,8,0,0.0,-0.537446,0,20251201
fu2605P2650,,,,219.0,228.0,219.0,-9.0,-9.0,0,13,0,0.0,-0.587526,0,20251201
fu2605P2700,,,,252.0,261.0,252.0,-9.0,-9.0,0,19,0,0.0,-0.635471,0,20251201
fu2605P2750,,,,287.5,296.5,287.5,-9.0,-9.0,0,5,0,0.0,-0.680239,0,20251201
fu2605P2800,,,,325.5,333.5,325.5,-8.0,-8.0,0,3,0,0.0,-0.721718,0,20251201
fu2605P2850,,,,364.5,372.0,364.5,-7.5,-7.5,0,3,0,0.0,-0.7598,0,20251201
fu2605P2900,,,,405.5,412.0,405.5,-6.5,-6.5,0,0,0,0.0,-0.794444,0,20251201
fu2605P2950,,,,448.0,454.0,448.0,-6.0,-6.0,0,0,0,0.0,-0.8257,0,20251201
fu2605P3000,,,,491.5,497.0,491.5,-5.5,-5.5,0,2,0,0.0,-0.853626,0,20251201
fu2605P3050,,,,536.5,541.0,536.5,-4.5,-4.5,0,2,0,0.0,-0.877313,0,20251201
fu2605P3100,,,,582.0,586.0,582.0,-4.0,-4.0,0,0,0,0.0,-0.898162,0,20251201
fu2605P3150,,,,628.5,632.0,628.5,-3.5,-3.5,0,0,0,0.0,-0.916444,0,20251201
fu2601C2100,374,374.5,370.5,370.5,374.5,369.5,-4.0,-5.0,50,100,50,18.6,0.98769,0,20251202
